"team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"Golden State Warriors","1/22/17",2016,1,2,10,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Orlando Magic",19,8,10
"Golden State Warriors","12/23/16",2016,2,9,40,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",-1,3,15
"Golden State Warriors","2/15/17",2016,2,4,19,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",9,18,20
"Golden State Warriors","1/8/17",2016,3,11,38,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Sacramento Kings",15,10,25
"Golden State Warriors","12/22/16",2016,2,11,7,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Brooklyn Nets",-22,-6,13
"Golden State Warriors","1/4/17",2016,1,2,50,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",14,16,10
"Golden State Warriors","11/16/16",2016,2,11,19,"shot_yes","Driving Layup Shot","2PT Field Goal",3,"Toronto Raptors",-16,26,13
"Golden State Warriors","12/5/16",2016,2,7,25,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Indiana Pacers",0,13,17
"Golden State Warriors","1/28/17",2016,2,4,14,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Los Angeles Clippers",-9,-1,20
"Golden State Warriors","10/25/16",2016,4,5,41,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",8,15,43
"Golden State Warriors","12/11/16",2016,4,7,18,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-6,-11,41
"Golden State Warriors","1/4/17",2016,2,2,32,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",10,18,22
"Golden State Warriors","2/8/17",2016,2,4,23,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",0,28,20
"Golden State Warriors","12/11/16",2016,3,8,24,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",6,-1,28
"Golden State Warriors","11/9/16",2016,2,3,21,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Dallas Mavericks",9,18,21
"Golden State Warriors","12/23/16",2016,2,7,10,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",2,3,17
"Golden State Warriors","2/27/17",2016,1,11,5,"shot_yes","Driving Reverse Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,1
"Golden State Warriors","11/1/16",2016,1,6,24,"shot_yes","Driving Reverse Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,6
"Golden State Warriors","12/17/16",2016,1,10,54,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-9,11,2
"Golden State Warriors","1/25/17",2016,1,3,25,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-11,3,9
"Golden State Warriors","1/20/17",2016,3,11,15,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Houston Rockets",12,7,25
"Golden State Warriors","11/3/16",2016,1,1,33,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",10,11,11
"Golden State Warriors","12/15/16",2016,2,6,39,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"New York Knicks",-16,2,18
"Golden State Warriors","12/13/16",2016,3,4,29,"shot_yes","Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,32
"Golden State Warriors","11/10/16",2016,4,6,51,"shot_yes","Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,42
"Golden State Warriors","12/1/16",2016,1,11,13,"shot_yes","Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,1
"Golden State Warriors","12/22/16",2016,3,11,45,"shot_yes","Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,25
"Golden State Warriors","11/4/16",2016,3,11,25,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,25
"Golden State Warriors","2/23/17",2016,2,5,44,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,19
"Golden State Warriors","12/13/16",2016,1,0,47,"shot_yes","Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,12
"Golden State Warriors","12/15/16",2016,2,1,40,"shot_yes","Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,23
"Golden State Warriors","11/7/16",2016,4,8,29,"shot_yes","Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,40
"Golden State Warriors","10/28/16",2016,2,2,53,"shot_no","Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,22
"Golden State Warriors","10/28/16",2016,4,2,21,"shot_yes","Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,46
"Golden State Warriors","2/2/17",2016,1,11,33,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,1
"Golden State Warriors","11/23/16",2016,3,6,43,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,30
"Golden State Warriors","12/20/16",2016,2,10,53,"shot_no","Fadeaway Jump Shot","2PT Field Goal",13,"Utah Jazz",53,120,14
"Golden State Warriors","11/26/16",2016,1,10,30,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",4,"Minnesota Timberwolves",-37,31,2
"Golden State Warriors","1/22/17",2016,1,6,31,"shot_no","Fadeaway Jump Shot","2PT Field Goal",14,"Orlando Magic",148,16,6
"Golden State Warriors","2/15/17",2016,1,5,32,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",18,"Sacramento Kings",-140,124,7
"Golden State Warriors","11/28/16",2016,1,3,2,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",13,"Atlanta Hawks",137,8,9
"Golden State Warriors","12/20/16",2016,3,9,15,"shot_no","Fadeaway Jump Shot","2PT Field Goal",14,"Utah Jazz",97,105,27
"Golden State Warriors","1/2/17",2016,3,8,53,"shot_no","Fadeaway Jump Shot","2PT Field Goal",17,"Denver Nuggets",-174,26,28
"Golden State Warriors","11/16/16",2016,4,10,25,"shot_no","Fadeaway Jump Shot","2PT Field Goal",17,"Toronto Raptors",-6,174,38
"Golden State Warriors","1/2/17",2016,4,8,27,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",15,"Denver Nuggets",150,52,40
"Golden State Warriors","1/18/17",2016,2,6,43,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",12,"Oklahoma City Thunder",-9,129,18
"Golden State Warriors","11/19/16",2016,2,7,29,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",18,"Milwaukee Bucks",-122,139,17
"Golden State Warriors","12/7/16",2016,2,4,3,"shot_no","Fadeaway Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",107,146,20
"Golden State Warriors","12/3/16",2016,1,10,51,"shot_yes","Fadeaway Jump Shot","3PT Field Goal",22,"Phoenix Suns",227,7,2
